0, 0.000000, -nan
1, 1.000000, 0.000000
2, 2.000000, 0.000000
3, 3.000000, 0.000000
4, 4.000000, 0.000000
5, 5.000000, 0.000000
6, 6.000000, 0.000000
7, 6.992500, 0.001071
8, 7.940000, 0.007500
9, 8.867500, 0.014722
10, 9.662500, 0.033750
11, 10.232500, 0.069773
12, 10.392500, 0.133958
13, 10.802500, 0.169038
14, 10.937500, 0.218750
15, 10.535000, 0.297667
16, 10.445000, 0.347187
17, 9.582500, 0.436324
18, 9.022500, 0.498750
19, 8.445000, 0.555526
20, 7.485000, 0.625750
21, 6.795000, 0.676429
22, 5.660000, 0.742727
23, 4.867500, 0.788370
24, 4.225000, 0.823958
25, 3.505000, 0.859800
26, 2.892500, 0.888750
27, 2.452500, 0.909167
28, 1.982500, 0.929196
29, 1.600000, 0.944828
30, 1.247500, 0.958417
31, 1.122500, 0.963790
32, 0.940000, 0.970625
33, 0.652500, 0.980227
34, 0.465000, 0.986324
35, 0.387500, 0.988929
36, 0.297500, 0.991736
37, 0.215000, 0.994189
38, 0.215000, 0.994342
39, 0.127500, 0.996731
40, 0.062500, 0.998437
41, 0.030000, 0.999268
42, 0.030000, 0.999286
43, 0.040000, 0.999070
44, 0.017500, 0.999602
45, 0.037500, 0.999167
46, 0.007500, 0.999837
47, 0.000000, 1.000000
48, 0.007500, 0.999844
49, 0.000000, 1.000000
